Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p671,OK,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/74f8e26c4bc63846151efcc0b31e7d2ca08bf333,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/74f8e26c4bc63846151efcc0b31e7d2ca08bf333,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/74f8e26c4bc63846151efcc0b31e7d2ca08bf333,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/74f8e26c4bc63846151efcc0b31e7d2ca08bf333,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p245,OK,Las,Las,real.,real.,57,57,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p806,OK,CH_BO_11.,CH_BO_11.,r°..,r°..,97,97,Oui,27,27,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p283,OK,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/789a11f81c4c06cc05fc1942acfc5412b57a8545,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/789a11f81c4c06cc05fc1942acfc5412b57a8545,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/789a11f81c4c06cc05fc1942acfc5412b57a8545,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/789a11f81c4c06cc05fc1942acfc5412b57a8545,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p408,OK,CH_BO_05.,CH_BO_05.,1/01/1431.,1/01/1431.,30,30,Oui,8,8,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p510,OK,CH_BO_06-8-,CH_BO_06-8-,CH_BO_06-8-,CH_BO_06-8-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p97,OK,",",",",N°6.,N°6.,5,5,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p449,OK,OF,OF,356bis,356bis,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p415,OK,CH_BO_05.,CH_BO_05.,v°..,v°..,62,62,Oui,15,14,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p495,OK,CH_BO_06-3-,CH_BO_06-3-,CH_BO_06-3-,CH_BO_06-3-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p128,OK,[côté,[côté,iglesia.,iglesia.,39,39,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p170,OK,CH_BO_02a-3-,CH_BO_02a-3-,CH_BO_02a-3-,CH_BO_02a-3-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p113,OK,CH_BO_01b-2-,CH_BO_01b-2-,CH_BO_01b-2-,CH_BO_01b-2-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p638,OK,CH_BO_09+,CH_BO_09+,v°..,v°..,60,60,Oui,16,15,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p109,OK,CH_BO_01b.,CH_BO_01b.,v°..,v°..,63,63,Oui,16,16,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p513,OK,CH_BO_06-9-,CH_BO_06-9-,CH_BO_06-9-,CH_BO_06-9-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p451,OK,Fernando,Fernando,barvero,barvero,3,3,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p525,OK,CH_BO_06-17-,CH_BO_06-17-,CH_BO_06-17-,CH_BO_06-17-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p211,OK,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/07852a64dcf1fd551c07e94cd346d7ae003e71bc,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/07852a64dcf1fd551c07e94cd346d7ae003e71bc,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/07852a64dcf1fd551c07e94cd346d7ae003e71bc,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/07852a64dcf1fd551c07e94cd346d7ae003e71bc,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p889,OK,CH_BO_13.,CH_BO_13.,v°..,v°..,53,53,Oui,12,12,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p68,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p69,OK,CH_BO_01a-7-,CH_BO_01a-7-,CH_BO_01a-7-,CH_BO_01a-7-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p647,OK,",",",",Pedro,Pedro,5,5,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p359,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p836,OK,(En,(En,gines,gines,22,22,Oui,8,8,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p899,OK,CH_BO_13.,CH_BO_13.,sobre……..,sobre……..,56,56,Oui,13,13,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p184,OK,CH_BO_02b,CH_BO_02b,CH_BO_02b,CH_BO_02b,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p653,OK,CH_BO_10.,CH_BO_10.,Martínez.,Martínez.,103,103,Oui,28,29,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p397,OK,(En,(En,trugillo.,trugillo.,18,18,Oui,10,10,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p708,OK,©,©,EscribanoChauvigné,EscribanoChauvigné,4,4,Oui,4,4,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p777,OK,OF,OF,356,356,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p349,OK,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/e8043abe22e1e48ee02b74314b95518fe7cea2a5,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/e8043abe22e1e48ee02b74314b95518fe7cea2a5,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/e8043abe22e1e48ee02b74314b95518fe7cea2a5,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/e8043abe22e1e48ee02b74314b95518fe7cea2a5,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p827,OK,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/e64bbb35c06ca4f336213899dc03e21492dd2cd8,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/e64bbb35c06ca4f336213899dc03e21492dd2cd8,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/e64bbb35c06ca4f336213899dc03e21492dd2cd8,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/e64bbb35c06ca4f336213899dc03e21492dd2cd8,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p740,OK,CH_AO_10.,CH_AO_10.,43..,43..,141,141,Oui,38,38,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p822,OK,CH_BO_11.,CH_BO_11.,v°..,v°..,61,61,Oui,14,15,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p385,OK,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/be9cea9e09f48bc191141ff4ed3b1718a070f6e0,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/be9cea9e09f48bc191141ff4ed3b1718a070f6e0,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/be9cea9e09f48bc191141ff4ed3b1718a070f6e0,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/be9cea9e09f48bc191141ff4ed3b1718a070f6e0,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p129,OK,En,En,e,e,57,57,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p882,OK,CH_BO_13,CH_BO_13,CH_BO_13,CH_BO_13,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p341,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p127,OK,OF,OF,356,356,2,2,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p365,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p347,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p383,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p874,OK,CH_BO_12.,CH_BO_12.,1496.,1496.,86,86,Oui,22,22,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p729,OK,"CH_AO_10,","CH_AO_10,","CH_AO_10,","CH_AO_10,",1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p692,OK,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/997055ec4345e4cba401d6aa671e64209565dcab,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/997055ec4345e4cba401d6aa671e64209565dcab,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/997055ec4345e4cba401d6aa671e64209565dcab,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/997055ec4345e4cba401d6aa671e64209565dcab,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p744,OK,CH_AO_10.,CH_AO_10.,r°..,r°..,117,117,Oui,29,29,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p765,OK,CH_BO_02b-1-,CH_BO_02b-1-,CH_BO_02b-1-,CH_BO_02b-1-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p477,OK,CH_BO_06.,CH_BO_06.,r°.,r°.,46,46,Oui,16,16,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p182,OK,Beatris,Beatris,Ferrera,Ferrera,7,7,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p542,OK,CH_BO_07,CH_BO_07,CH_BO_07,CH_BO_07,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p487,OK,CH_BO_06a+b.,CH_BO_06a+b.,v°.,v°.,31,31,Oui,11,11,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p402,OK,En,En,apostolico.,apostolico.,401,401,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p325,OK,CH_BO_04+,CH_BO_04+,v°.,v°.,50,50,Oui,13,13,Oui
