Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean.xml,p141,OK,CH_BO_02.,CH_BO_02.,v°..,v°..,27,27,Oui,6,6,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p615,OK,el,el,Vaca,Vaca,4,4,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p800,OK,CH_BO_11.,CH_BO_11.,v°..,v°..,48,48,Oui,15,15,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p132,OK,Item,Item,capellan.,capellan.,182,182,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p3,OK,Avant,Avant,d'identifier.,d'identifier.,25,25,Oui,6,6,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p444,OK,Las,Las,Años.,Años.,34,34,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p433,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p832,OK,OF,OF,356bis,356bis,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p294,OK,(firmado),(firmado),notario.,notario.,5,5,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p645,OK,"CH_BO_10,","CH_BO_10,",Pedro..,Pedro..,24,24,Oui,7,7,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p506,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p759,OK,CH_AO_10.,CH_AO_10.,r°..,r°..,60,60,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p434,OK,CH_BO_05-6-,CH_BO_05-6-,CH_BO_05-6-,CH_BO_05-6-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p400,OK,[côté,[côté,iglesia.,iglesia.,43,43,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p636,OK,CH_BO_09.,CH_BO_09.,v°..,v°..,59,59,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p755,OK,CH_AO_10.,CH_AO_10.,v°..,v°..,83,83,Oui,27,27,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p556,OK,CH_BO_07.,CH_BO_07.,v°..,v°..,40,40,Oui,11,11,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p102,OK,CH_BO_01,CH_BO_01,v°.,v°.,89,89,Oui,18,18,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p517,OK,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/0a45db9b1d3fa1fe46c63db3c9f73428966a7761,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/0a45db9b1d3fa1fe46c63db3c9f73428966a7761,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/0a45db9b1d3fa1fe46c63db3c9f73428966a7761,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/0a45db9b1d3fa1fe46c63db3c9f73428966a7761,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p905,OK,CH_BO_13.,CH_BO_13.,Atocha..,Atocha..,75,75,Oui,15,15,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p720,OK,En,En,portal.,portal.,200,200,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p757,OK,CH_AO_10.,CH_AO_10.,Canónigos..,Canónigos..,67,67,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p116,OK,CH_BO_01b-3-,CH_BO_01b-3-,10.34847/nkl.1db45e18/7772187a0cba2937c68f1a4af3c01b54a44b89d4,10.34847/nkl.1db45e18/7772187a0cba2937c68f1a4af3c01b54a44b89d4,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p508,OK,10.34847/nkl.fafcn59z/3653a85f42b4c3c1532a45e12d500c92ca8954e6,10.34847/nkl.fafcn59z/3653a85f42b4c3c1532a45e12d500c92ca8954e6,10.34847/nkl.fafcn59z/3653a85f42b4c3c1532a45e12d500c92ca8954e6,10.34847/nkl.fafcn59z/3653a85f42b4c3c1532a45e12d500c92ca8954e6,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p143,OK,CH_BO_02,CH_BO_02,r°..,r°..,124,124,Oui,33,33,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p839,OK,Las,Las,Pedro.,Pedro.,50,50,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p461,OK,CH_BO_06.,CH_BO_06.,v°..,v°..,36,36,Oui,11,11,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p136,OK,En,En,e,e,57,57,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p766,OK,https://api.nakala.fr/embed/10.34847/nkl.084785ct/0168cd4cbc98cf80ea47e65d73981243892e8c68,https://api.nakala.fr/embed/10.34847/nkl.084785ct/0168cd4cbc98cf80ea47e65d73981243892e8c68,https://api.nakala.fr/embed/10.34847/nkl.084785ct/0168cd4cbc98cf80ea47e65d73981243892e8c68,https://api.nakala.fr/embed/10.34847/nkl.084785ct/0168cd4cbc98cf80ea47e65d73981243892e8c68,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p566,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p632,OK,CH_BO_09.,CH_BO_09.,v°..,v°..,61,61,Oui,21,21,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p567,OK,CH_BO_07-1-,CH_BO_07-1-,CH_BO_07-1-,CH_BO_07-1-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p518,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p878,OK,En,En,eglesia.,eglesia.,79,79,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p61,OK,10.34847/nkl.07can176/2a1a430d7dd738eb233cd4e82f4cfb5156aa3dbb,10.34847/nkl.07can176/2a1a430d7dd738eb233cd4e82f4cfb5156aa3dbb,10.34847/nkl.07can176/2a1a430d7dd738eb233cd4e82f4cfb5156aa3dbb,10.34847/nkl.07can176/2a1a430d7dd738eb233cd4e82f4cfb5156aa3dbb,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p447,OK,(En,(En,valençiano,valençiano,17,17,Oui,8,8,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p119,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p186,OK,CH_BO_02b.,CH_BO_02b.,.,.,125,125,Oui,25,25,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p80,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p842,OK,OF,OF,356,356,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p428,OK,CH_BO_05-4-,CH_BO_05-4-,CH_BO_05-4-,CH_BO_05-4-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p442,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p479,OK,CH_BO_06.,CH_BO_06.,v°..,v°..,65,65,Oui,21,21,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p58,OK,https://api.nakala.fr/embed/10.34847/nkl.07can176/9d89c746a49f3f0a4dfa42d8789bd3e768d3f3d7,https://api.nakala.fr/embed/10.34847/nkl.07can176/9d89c746a49f3f0a4dfa42d8789bd3e768d3f3d7,https://api.nakala.fr/embed/10.34847/nkl.07can176/9d89c746a49f3f0a4dfa42d8789bd3e768d3f3d7,https://api.nakala.fr/embed/10.34847/nkl.07can176/9d89c746a49f3f0a4dfa42d8789bd3e768d3f3d7,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p72,OK,CH_BO_01a-8-,CH_BO_01a-8-,CH_BO_01a-8-,CH_BO_01a-8-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p337,OK,CH_BO_04.,CH_BO_04.,v°..,v°..,127,127,Oui,34,34,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p118,OK,CH_BO_01b-4-,CH_BO_01b-4-,10.34847/nkl.1db45e18/7d00900bbb45d7b124a41665e1577e02ebde1ba3,10.34847/nkl.1db45e18/7d00900bbb45d7b124a41665e1577e02ebde1ba3,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p776,OK,(En,(En,1492),1492),18,18,Oui,6,6,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p454,OK,.,.,469-472).,469-472).,30,30,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p445,OK,En,En,capellan.,capellan.,225,225,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p593,OK,CH_BO_08.,CH_BO_08.,r°..,r°..,93,93,Oui,25,25,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p288,OK,CH_BO_03-5-,CH_BO_03-5-,CH_BO_03-5-,CH_BO_03-5-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p65,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p352,OK,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/074b0f4618d9be4dabbd018cc74f206a92fbf6c7,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/074b0f4618d9be4dabbd018cc74f206a92fbf6c7,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/074b0f4618d9be4dabbd018cc74f206a92fbf6c7,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/074b0f4618d9be4dabbd018cc74f206a92fbf6c7,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p564,OK,CH_BO_07-1-,CH_BO_07-1-,CH_BO_07-1-,CH_BO_07-1-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p389,OK,©,©,Chauvigné,Chauvigné,7,7,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p156,OK,CH_BO_02a.,CH_BO_02a.,1428.,1428.,43,43,Oui,9,9,Oui
